Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,12,2,14,None
1,2,4,18,4,22,None
1,3,6,22,2,24,None
2,1,3,0,4,4,None
2,2,4,5,3,8,None
2,3,6,8,3,11,None
3,1,3,8,4,12,None
3,2,5,14,2,16,None
3,3,8,16,2,18,None
4,1,2,2,3,5,None
4,2,5,5,5,10,None
4,3,6,11,3,14,None
5,1,1,0,4,4,None
5,2,5,4,1,5,None
5,3,6,5,3,8,None
6,1,2,7,5,12,None
6,2,4,16,2,18,None
6,3,7,18,3,21,None
7,1,2,5,2,7,None
7,2,4,9,4,13,None
7,3,8,13,3,16,None
8,1,1,9,3,12,None
8,2,5,16,5,21,None
8,3,7,21,3,24,None
9,1,1,4,2,6,None
9,2,4,8,1,9,None
9,3,9,10,5,15,None
10,1,1,6,3,9,None
10,2,4,13,3,16,None
10,3,6,17,4,21,None
11,1,2,0,2,2,None
11,2,4,2,3,5,None
11,3,9,5,5,10,None
12,1,3,4,4,8,None
12,2,5,10,4,14,None
12,3,6,14,3,17,None
